Date,Tmax_x,Tmin_x,Tavg_x,Depart_x,DewPoint_x,WetBulb_x,Heat_x,Cool_x,PrecipTotal_x,StnPressure_x,SeaLevel_x,ResultSpeed_x,ResultDir_x,AvgSpeed_x,Daylight_x,avg_Tavg_x,avg_PrecipTotal_x,avg_AvgSpeed_x,TimeLaggedDaylight_x,TimeLaggedTemperature_x,TimeLaggedPrecipitation_x,TimeLaggedWindspeed_x,Tmax_y,Tmin_y,Tavg_y,DewPoint_y,WetBulb_y,Heat_y,Cool_y,PrecipTotal_y,StnPressure_y,SeaLevel_y,ResultSpeed_y,ResultDir_y,AvgSpeed_y,Daylight_y
2007-05-12,64,46,55.0,-2,36,46,10,0,0.0,29.49,30.2,12.4,3,12.9,14,55.5,0.0,12.95,12.892883799788653,63.875,0.007291666666666666,10.341666666666663,65,47,56.0,37,46,9,0,0.0,29.54,30.19,12.7,1,13.0,14
2007-05-13,69,43,56.0,-2,33,46,9,0,0.0,29.49,30.24,6.6,14,8.1,14,56.5,0.0,7.85,12.939299826079724,63.4375,0.00673076923076923,10.149999999999999,69,44,57.0,32,46,8,0,0.0,29.55,30.24,6.4,11,7.6,14
2007-05-14,90,56,73.0,15,47,59,0,8,0.0,29.23,29.97,16.9,21,17.3,14,72.5,0.0,15.95,12.985598259639765,65.0625,0.0062499999999999995,10.564285714285713,90,54,72.0,45,58,0,7,0.0,29.31,29.98,14.1,21,14.6,14
2007-05-15,80,57,69.0,11,56,61,0,4,0.38,29.13,29.84,8.1,27,12.3,14,69.0,0.49,11.55,13.031771802241263,65.4375,0.0385,10.629999999999999,82,56,69.0,56,61,0,4,0.6,29.19,29.83,8.1,25,10.8,14
2007-05-16,66,44,55.0,-4,43,48,10,0,0.14,29.33,30.03,7.8,36,12.2,14,55.0,0.10500000000000001,12.0,13.077812955948353,63.6875,0.04265625,10.715625,64,45,55.0,42,47,10,0,0.07,29.39,30.03,8.0,36,11.8,14
2007-05-17,62,43,53.0,-6,32,43,12,0,0.0,29.55,30.27,10.5,3,11.3,14,53.0,0.0,11.75,13.123714012093338,61.625,0.04014705882352941,10.776470588235293,61,44,53.0,32,43,12,0,0.0,29.62,30.27,11.7,1,12.2,14
2007-05-18,71,42,57.0,-3,30,46,8,0,0.0,29.53,30.25,5.4,25,7.5,14,57.0,0.0,6.5,13.169467040491378,59.9375,0.03791666666666667,10.538888888888888,70,43,57.0,31,47,8,0,0.0,29.6,30.26,3.4,22,5.5,14
2007-05-19,80,56,68.0,8,39,53,0,3,0.0,29.34,30.08,11.1,24,11.4,14,68.0,0.0,11.4,13.215063878914568,60.8125,0.035921052631578944,10.584210526315788,80,56,68.0,37,53,0,3,0.0,29.41,30.08,11.1,23,11.4,14
2007-05-20,69,43,56.0,-5,40,44,9,0,0.07,29.38,30.11,10.4,4,10.7,14,56.5,0.09,10.2,13.260496122848417,60.9375,0.03862500000000001,10.564999999999998,69,44,57.0,41,45,8,0,0.11,29.44,30.11,8.6,3,9.7,14
2007-05-21,80,44,62.0,1,50,56,3,0,0.0,29.33,30.06,6.3,11,8.2,14,62.5,0.0,8.0,13.305755115555764,61.6875,0.03678571428571429,10.442857142857141,79,46,63.0,50,57,2,0,0.0,29.39,30.05,6.3,10,7.8,14
2007-05-22,87,55,71.0,10,46,58,0,6,0.0,29.34,30.06,10.0,18,10.2,14,72.5,0.0,10.399999999999999,13.350831938475169,61.6875,0.03511363636363637,10.440909090909088,87,60,74.0,44,58,0,9,0.0,29.41,30.05,10.1,16,10.6,14
2007-05-23,89,60,75.0,14,49,61,0,10,0.0,29.39,30.1,11.4,19,11.8,14,76.5,0.0,11.5,13.395717401982958,62.625,0.03358695652173913,10.536363636363633,89,66,78.0,48,61,0,13,0.0,29.47,30.1,10.9,18,11.2,14
2007-05-24,88,63,76.0,14,54,63,0,11,0.02,29.41,30.11,14.9,21,17.3,14,76.5,0.0125,16.25,13.440402036550152,65.3125,0.03270833333333333,10.665909090909087,88,66,77.0,53,63,0,12,0.005,29.47,30.1,13.8,20,15.2,14
2007-05-25,70,56,63.0,1,44,53,2,0,0.005,29.51,30.24,4.9,5,8.8,14,62.5,0.0475,8.5,13.484876084327723,66.5,0.0333,10.481818181818177,66,57,62.0,46,53,3,0,0.09,29.57,30.23,4.5,5,8.2,14
2007-05-26,65,49,57.0,-5,55,56,8,0,1.01,29.36,30.11,2.8,17,7.2,14,58.5,0.645,7.5,13.529129491195787,66.6875,0.05682692307692309,10.340909090909086,70,50,60.0,55,57,5,0,0.28,29.42,30.1,2.5,15,7.8,14
2007-05-27,75,57,66.0,4,47,56,0,1,0.04,29.34,30.06,8.9,26,9.5,14,66.5,0.06,9.35,13.573151899314464,66.5,0.05694444444444446,10.23181818181818,75,59,67.0,49,57,0,2,0.08,29.41,30.05,8.2,24,9.2,14
2007-05-28,79,50,65.0,2,47,56,0,0,0.005,29.43,30.15,4.8,10,5.3,14,65.0,0.0025,5.25,13.616932640216342,67.5625,0.05500000000000001,9.799999999999999,76,54,65.0,49,57,0,0,0.0,29.49,30.14,4.7,8,5.2,14
2007-05-29,88,60,74.0,10,58,65,0,9,0.0,29.39,30.11,5.8,18,6.5,14,75.5,0.0,6.95,13.660460728482597,69.1875,0.05310344827586208,9.652272727272727,88,65,77.0,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,14
2007-05-30,87,66,77.0,13,58,65,0,12,0.0,29.31,30.04,10.3,19,10.6,14,78.5,0.0,10.35,13.703724856046847,69.9375,0.05133333333333334,9.868181818181819,89,70,80.0,57,66,0,15,0.0,29.38,30.03,9.7,17,10.1,14
2007-05-31,78,65,72.0,8,61,65,0,7,0.01,29.28,30.0,9.3,19,9.9,14,73.0,0.27,9.55,13.746713387172868,69.5,0.058387096774193556,10.02727272727273,80,68,74.0,61,66,0,9,0.53,29.34,29.99,8.9,18,9.2,14
2007-06-01,85,62,74.0,10,63,66,0,9,0.19,29.19,29.91,4.2,17,6.4,15,75.5,0.2,6.1,13.789414354154143,69.375,0.06281250000000001,10.122727272727277,86,67,77.0,63,67,0,12,0.21,29.25,29.9,4.7,16,5.8,15
2007-06-02,81,65,73.0,9,63,67,0,8,0.04,29.03,29.77,6.5,22,7.4,15,74.0,0.0225,7.8,13.831815453785023,70.8125,0.0615909090909091,9.893181818181823,81,68,75.0,62,67,0,10,0.005,29.1,29.76,7.5,21,8.2,15
2007-06-03,78,62,70.0,6,60,63,0,5,0.01,28.82,29.56,5.2,25,6.7,15,70.5,0.165,6.95,13.87390404465487,72.3125,0.06463235294117647,9.620454545454548,77,64,71.0,60,64,0,6,0.32,28.87,29.54,4.9,24,7.2,15
2007-06-04,71,58,65.0,1,58,60,0,0,0.39,28.82,29.52,7.8,31,9.7,15,64.5,0.35,9.899999999999999,13.915667145317991,72.0625,0.07278571428571429,9.713636363636367,72,56,64.0,57,60,1,0,0.31,28.88,29.51,7.9,30,10.1,15
2007-06-05,64,47,56.0,-9,48,51,9,0,0.42,29.1,29.79,5.2,5,7.6,15,56.5,0.345,7.85,13.957091433393423,71.0,0.08034722222222221,9.34545454545455,63,51,57.0,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,15
2007-06-06,71,44,58.0,-8,48,55,7,0,0.01,29.07,29.81,10.8,17,11.4,15,59.5,0.0075,11.0,13.998163245649563,69.0,0.07837837837837838,9.320454545454549,73,48,61.0,47,55,4,0,0.005,29.13,29.82,9.6,15,10.6,15
2007-06-07,91,71,81.0,15,62,69,0,16,0.0,28.84,29.55,22.7,20,23.1,15,81.5,0.0,21.9,14.038868579129387,69.375,0.07631578947368421,9.770454545454546,92,71,82.0,61,68,0,17,0.0,28.91,29.55,20.3,19,20.7,15
2007-06-08,81,57,69.0,3,53,61,0,4,0.0,29.18,29.85,10.9,28,13.8,15,70.5,0.0,13.100000000000001,14.079193093372332,69.0625,0.07435897435897436,9.831818181818182,81,63,72.0,54,62,0,7,0.0,29.24,29.83,9.3,26,12.4,15
2007-06-09,79,52,66.0,0,47,57,0,1,0.0,29.36,30.07,0.3,33,5.0,15,67.0,0.0,4.85,14.119122113788997,68.0,0.0725,9.756818181818183,79,57,68.0,49,58,0,3,0.0,29.42,30.05,2.4,19,4.7,15
2007-06-10,81,55,68.0,1,51,59,0,3,0.0,29.34,30.05,4.8,17,5.6,15,69.5,0.0,5.699999999999999,14.158640636244426,67.4375,0.07073170731707316,9.497727272727273,81,61,71.0,50,60,0,6,0.0,29.39,30.04,4.6,16,5.8,15
2007-06-11,86,58,72.0,5,52,61,0,7,0.0,29.41,30.11,4.9,11,6.9,15,73.5,0.0,7.65,14.197733332904972,67.8125,0.06904761904761905,9.381818181818181,85,65,75.0,51,61,0,10,0.0,29.47,30.09,6.6,9,8.4,15
2007-06-12,83,62,73.0,5,50,60,0,8,0.0,29.44,30.16,8.3,5,8.8,15,73.5,0.0,9.4,14.236384559402467,68.9375,0.06744186046511627,9.445454545454545,82,66,74.0,51,61,0,9,0.0,29.49,30.14,9.4,5,10.0,15
2007-06-13,87,60,74.0,6,53,62,0,9,0.0,29.36,30.09,7.2,5,8.6,15,75.5,0.0,8.6,14.274578363367668,71.3125,0.0659090909090909,9.363636363636363,86,68,77.0,53,62,0,12,0.0,29.36,30.09,7.0,5,8.6,15
2007-06-14,89,64,77.0,9,55,64,0,12,0.0,29.3,30.02,5.6,5,6.8,15,78.0,0.0,6.6,14.312298494382695,73.625,0.06444444444444444,9.140909090909092,89,68,79.0,54,63,0,14,0.0,29.36,30.0,5.9,7,6.4,15
2007-06-15,91,63,77.0,9,56,64,0,12,0.0,29.28,29.99,4.1,6,4.9,15,77.5,0.0,4.5,14.349528415399192,73.125,0.06304347826086956,8.606818181818182,89,67,78.0,56,65,0,13,0.0,29.34,29.97,3.8,9,4.1,15
2007-06-16,93,66,80.0,11,60,67,0,15,0.005,29.26,29.97,4.8,28,5.8,15,80.0,0.005,5.949999999999999,14.386251315665605,74.3125,0.06180851063829787,8.49090909090909,92,68,80.0,61,68,0,15,0.005,29.33,29.96,2.1,22,6.1,15
2007-06-17,91,70,81.0,12,64,70,0,16,0.0,29.23,29.95,2.8,11,6.3,15,81.0,0.08,6.199999999999999,14.422450125202682,76.0625,0.0621875,8.43181818181818,91,71,81.0,65,70,0,16,0.16,29.28,29.93,4.0,11,6.1,15
2007-06-18,89,69,79.0,9,65,70,0,14,0.28,29.12,29.84,14.0,20,15.1,15,80.0,0.15000000000000002,13.85,14.458107530861636,77.375,0.0639795918367347,8.636363636363635,89,73,81.0,65,70,0,16,0.02,29.19,29.83,12.2,20,12.6,15
2007-06-19,80,65,73.0,3,55,63,0,8,0.58,29.26,29.95,10.7,28,11.4,15,73.0,0.755,11.350000000000001,14.49320599399384,77.3125,0.07780000000000001,8.913636363636364,81,65,73.0,55,63,0,8,0.93,29.31,29.93,10.1,29,11.3,15
2007-06-20,84,61,73.0,3,52,61,0,8,0.0,29.39,30.1,7.8,27,8.8,15,73.5,0.0,8.25,14.527727769754815,77.3125,0.07627450980392157,8.972727272727276,85,62,74.0,50,61,0,9,0.0,29.46,30.09,5.9,28,7.7,15
2007-06-21,77,61,69.0,-1,51,60,0,4,0.01,29.36,30.08,3.5,3,10.7,15,71.0,0.0075,10.149999999999999,14.561654928058225,76.75,0.07495192307692308,8.963636363636365,80,66,73.0,51,61,0,8,0.005,29.41,30.06,3.7,2,9.6,15
2007-06-22,76,61,69.0,-1,50,58,0,4,0.005,29.33,30.06,7.8,6,8.7,15,69.0,0.005,8.399999999999999,14.594969376188178,75.625,0.07363207547169812,8.911363636363633,75,62,69.0,49,58,0,4,0.005,29.39,30.05,6.5,7,8.1,15
2007-06-23,67,62,65.0,-5,58,61,0,0,0.05,29.23,29.96,7.6,12,9.0,15,65.0,0.195,8.55,14.62765288306959,74.0625,0.07587962962962963,9.022727272727272,68,61,65.0,60,62,0,0,0.34,29.28,29.95,7.3,11,8.1,15
2007-06-24,77,63,70.0,-1,62,65,0,5,0.0,29.26,29.97,7.0,9,8.0,15,70.0,0.0,7.0,14.65968710518746,72.8125,0.0745,8.986363636363636,75,65,70.0,62,65,0,5,0.0,29.33,29.96,5.6,10,6.0,15
2007-06-25,89,65,77.0,6,66,70,0,12,0.0,29.38,30.07,3.9,14,6.8,15,77.0,0.0,6.35,14.691053614136159,72.3125,0.07316964285714286,8.959090909090909,86,67,77.0,67,70,0,12,0.0,29.44,30.06,4.0,12,5.9,15
2007-06-26,92,70,81.0,10,69,72,0,16,0.16,29.39,30.11,6.1,22,7.1,15,81.5,0.0825,7.6,14.721733925769502,72.5,0.07333333333333333,8.854545454545454,91,73,82.0,69,72,0,17,0.005,29.45,30.09,7.3,21,8.1,15
2007-06-27,91,71,81.0,10,70,72,0,16,0.15,29.29,30.02,7.5,24,8.8,15,80.5,0.25,8.65,14.751709530911409,73.4375,0.07637931034482758,8.890909090909089,89,71,80.0,69,72,0,15,0.35,29.36,30.0,7.9,24,8.5,15
2007-06-28,74,58,66.0,-5,55,60,0,1,0.0,29.41,30.09,11.9,3,12.5,15,66.5,0.0,12.9,14.780961927575506,72.5625,0.07508474576271186,8.977272727272725,73,61,67.0,56,61,0,2,0.0,29.43,30.07,12.2,2,13.3,15
2007-06-29,70,56,63.0,-8,55,59,2,0,0.0,29.41,30.13,7.6,2,8.3,15,63.5,0.0,8.25,14.809472654630145,71.625,0.07383333333333333,8.356818181818182,71,56,64.0,56,60,1,0,0.0,29.47,30.11,7.4,2,8.2,15
2007-06-30,79,54,67.0,-5,46,56,0,2,0.0,29.41,30.13,4.9,3,5.8,15,67.5,0.0,6.0,14.837223326832904,71.4375,0.07262295081967213,8.034090909090908,77,58,68.0,49,58,0,3,0.0,29.46,30.11,5.1,4,6.2,15
2007-07-01,75,54,65.0,-7,52,58,0,0,0.0,29.51,30.23,8.6,4,8.6,15,67.0,0.0,9.149999999999999,14.86419567114614,71.6875,0.0714516129032258,8.229545454545454,76,61,69.0,51,59,0,4,0.0,29.56,30.21,9.5,4,9.7,15
2007-07-02,79,53,66.0,-6,50,58,0,1,0.0,29.49,30.22,5.9,14,8.1,15,67.0,0.0,8.3,14.89037156423237,71.3125,0.0703174603174603,8.34772727272727,77,58,68.0,50,59,0,3,0.0,29.55,30.21,7.4,12,8.5,15
2007-07-03,83,60,72.0,0,57,63,0,7,0.4,29.31,30.06,6.7,21,7.3,15,72.5,0.245,7.35,14.915733071015461,70.75,0.07304687499999998,8.334090909090909,83,63,73.0,56,63,0,8,0.09,29.38,30.05,6.4,21,7.4,15
2007-07-04,86,67,77.0,5,65,69,0,12,0.16,29.18,29.9,4.6,27,8.2,15,76.5,0.41000000000000003,8.5,14.940262484180858,70.125,0.07823076923076921,8.29318181818182,84,67,76.0,65,69,0,11,0.66,29.23,29.88,3.1,25,8.8,15
2007-07-05,89,71,80.0,8,60,67,0,15,0.0,29.24,29.94,6.4,31,8.1,15,79.5,0.0,7.5,14.96394236447561,70.0,0.07704545454545453,8.243181818181819,88,70,79.0,60,67,0,14,0.0,29.29,29.92,4.3,33,6.9,15
2007-07-06,86,66,76.0,4,57,64,0,11,0.0,29.32,30.03,3.2,5,5.5,15,76.0,0.0,5.5,14.986755581656794,71.1875,0.07589552238805969,8.19318181818182,84,68,76.0,57,65,0,11,0.0,29.38,30.01,3.3,7,5.5,15
2007-07-07,90,64,77.0,5,63,69,0,12,0.0,29.18,29.91,8.4,22,8.6,15,77.5,0.0,8.35,15.00868535592539,72.9375,0.07477941176470587,8.36818181818182,88,68,78.0,62,68,0,13,0.0,29.24,29.9,7.4,23,8.1,15
2007-07-08,94,75,85.0,12,67,72,0,20,0.0,29.05,29.77,12.9,24,13.1,15,84.5,0.0,12.899999999999999,15.029715299671642,75.0625,0.07369565217391302,8.68409090909091,93,75,84.0,67,72,0,19,0.0,29.12,29.76,12.6,23,12.7,15
2007-07-09,94,70,82.0,9,66,70,0,17,0.3,29.11,29.8,4.9,24,8.8,15,82.5,0.27,8.8,15.049829459348032,77.0,0.07649999999999998,8.80227272727273,93,72,83.0,67,71,0,18,0.24,29.16,29.79,4.8,23,8.8,15
2007-07-10,89,69,79.0,6,67,70,0,14,0.43,29.06,29.77,8.6,23,10.5,15,79.5,0.255,10.35,15.069012357276891,78.5625,0.07901408450704224,8.643181818181821,89,70,80.0,67,71,0,15,0.08,29.13,29.76,8.2,23,10.2,15
2007-07-11,77,62,70.0,-3,51,59,0,5,0.0,29.23,29.93,8.8,30,10.9,15,70.0,0.0,11.05,15.087249033191789,78.25,0.07901408450704224,8.629545454545458,77,63,70.0,51,59,0,5,0.0,29.28,29.92,9.1,30,11.2,15
2007-07-12,80,61,71.0,-2,51,59,0,6,0.0,29.22,29.93,9.4,29,11.1,15,70.5,0.0,11.25,15.104525085305458,77.5,0.07901408450704224,8.765909090909092,80,60,70.0,51,60,0,5,0.0,29.28,29.92,10.0,28,11.4,15
2007-07-13,78,58,68.0,-5,52,58,0,3,0.0,29.26,29.98,1.4,1,5.3,14,67.5,0.0,5.55,15.120826710691896,76.0,0.07901408450704224,8.556818181818185,74,59,67.0,53,59,0,2,0.0,29.33,29.98,2.0,7,5.8,14
2007-07-14,84,61,73.0,0,55,62,0,8,0.0,29.08,29.79,8.3,26,13.2,14,73.5,0.0,13.55,15.136140744766946,75.6875,0.07897887323943661,8.790909090909095,85,62,74.0,55,62,0,9,0.0,29.14,29.79,8.4,25,13.9,14
2007-07-15,82,60,71.0,-3,53,61,0,6,0.0,29.19,29.89,2.1,29,4.9,14,71.5,0.0,5.7,15.150454699650014,74.9375,0.07890845070422534,8.661363636363639,80,64,72.0,52,61,0,7,0.0,29.25,29.88,1.2,9,6.5,14
2007-07-16,82,65,74.0,0,60,65,0,9,0.39,29.25,29.96,4.4,24,5.2,14,74.0,0.23,5.9,15.163756801189754,73.625,0.08214788732394365,8.611363636363636,82,66,74.0,60,65,0,9,0.07,29.31,29.94,5.6,23,6.6,14
2007-07-17,83,68,76.0,2,66,69,0,11,0.11,29.18,29.9,5.2,23,6.5,14,76.0,0.11,6.95,15.176036024438723,72.8125,0.0836619718309859,8.638636363636364,83,69,76.0,65,69,0,11,0.11,29.24,29.89,6.3,23,7.4,14
2007-07-18,85,69,77.0,3,68,71,0,12,1.55,29.11,29.84,9.1,24,10.1,14,77.0,1.235,10.35,15.187282127366096,72.5,0.10102112676056338,8.763636363636364,85,69,77.0,69,71,0,12,0.92,29.18,29.83,10.3,24,10.6,14
2007-07-19,83,63,73.0,-1,63,66,0,8,0.16,29.21,29.9,7.0,1,11.9,14,73.0,0.085,13.15,15.197485682603666,72.875,0.10116197183098592,8.968181818181817,82,63,73.0,62,66,0,8,0.01,29.26,29.88,7.7,36,14.4,14
2007-07-20,75,58,67.0,-7,53,59,0,2,0.0,29.44,30.14,8.6,3,9.1,14,67.5,0.0,10.3,15.2066381070285,72.5,0.10116197183098592,8.85,74,62,68.0,52,59,0,3,0.0,29.49,30.12,11.3,4,11.5,14
2007-07-21,74,58,66.0,-8,52,58,0,1,0.0,29.51,30.22,6.5,3,7.4,14,66.5,0.0,7.4,15.214731688995792,72.375,0.10116197183098592,8.811363636363636,75,58,67.0,52,59,0,2,0.0,29.57,30.21,5.8,4,7.4,14
2007-07-22,81,58,70.0,-4,55,61,0,5,0.0,29.49,30.21,1.7,16,3.3,14,70.5,0.0,3.4,15.221759613047512,72.0,0.10116197183098592,8.693181818181815,81,61,71.0,54,61,0,6,0.0,29.54,30.2,1.9,18,3.5,14
2007-07-23,83,60,72.0,-2,55,63,0,7,0.0,29.37,30.1,3.2,9,4.0,14,72.5,0.0,3.95,15.227715981936388,72.125,0.10116197183098592,8.45681818181818,82,63,73.0,55,63,0,8,0.0,29.42,30.09,2.9,12,3.9,14
2007-07-24,82,65,74.0,0,58,64,0,9,0.0,29.32,30.04,3.1,20,5.2,14,74.0,0.0025,5.050000000000001,15.232595835820456,72.125,0.10119718309859155,8.309090909090909,82,65,74.0,57,64,0,9,0.005,29.38,30.03,1.1,21,4.9,14
2007-07-25,85,71,78.0,4,61,67,0,13,0.005,29.29,30.0,5.8,25,6.6,14,77.5,0.0025,6.8,15.236395168500662,72.3125,0.09433098591549297,8.284090909090908,83,70,77.0,60,66,0,12,0.0,29.35,29.99,6.4,23,7.0,14
2007-07-26,83,66,75.0,1,65,68,0,10,0.19,29.19,29.92,7.2,22,9.4,14,74.5,0.54,9.65,15.239110940592717,72.0,0.10045774647887325,8.336363636363632,84,64,74.0,65,68,0,9,0.89,29.25,29.91,7.2,22,9.9,14
2007-07-27,83,70,77.0,3,68,70,0,12,0.17,29.11,29.82,3.0,3,7.9,14,77.0,0.10500000000000001,8.0,15.240741089544299,72.5,0.10193661971830988,8.359090909090908,83,70,77.0,67,70,0,12,0.04,29.16,29.8,1.2,36,8.1,14
2007-07-28,80,66,73.0,-1,65,68,0,8,0.0,29.23,29.93,10.0,3,10.2,14,74.0,0.0,10.45,15.241284536429696,73.3125,0.10193661971830988,8.584090909090905,80,70,75.0,65,68,0,10,0.0,29.28,29.91,10.6,3,10.7,14
2007-07-29,85,63,74.0,0,57,64,0,9,0.0,29.28,29.99,4.8,5,5.7,14,75.0,0.0,6.300000000000001,15.240741189475626,74.375,0.10193661971830988,8.490909090909089,85,67,76.0,56,64,0,11,0.0,29.34,29.97,6.3,5,6.9,14
2007-07-30,89,62,76.0,2,55,64,0,11,0.0,29.33,30.03,3.8,6,4.3,14,76.0,0.0,4.449999999999999,15.239111944294324,75.0625,0.10066901408450706,8.106818181818182,86,65,76.0,57,65,0,11,0.0,29.39,30.01,3.1,6,4.6,14
2007-07-31,91,68,80.0,6,61,68,0,15,0.0,29.33,30.04,3.3,4,4.9,14,79.5,0.0,4.95,15.236398680822422,75.9375,0.10066901408450706,7.931818181818181,89,69,79.0,60,68,0,14,0.0,29.39,30.02,4.0,7,5.0,14
2007-08-01,92,69,81.0,8,62,69,0,16,0.0,29.29,30.0,3.5,9,4.1,14,80.5,0.0,3.9,15.23260425698677,76.75,0.10066901408450706,7.638636363636365,91,69,80.0,63,70,0,15,0.0,29.34,29.98,2.1,13,3.7,14
2007-08-02,91,70,81.0,8,66,71,0,16,0.0,29.26,29.97,5.5,26,5.9,14,81.5,0.0,6.550000000000001,15.22773249914062,77.25,0.10066901408450706,7.4340909090909095,91,73,82.0,66,72,0,17,0.0,29.31,29.95,6.5,23,7.2,14
2007-08-03,90,69,80.0,7,56,66,0,15,0.0,29.31,30.02,2.7,3,5.7,14,80.5,0.0,5.75,15.221788189335404,78.0,0.10049295774647887,7.1840909090909095,88,73,81.0,58,67,0,16,0.0,29.36,30.0,3.3,6,5.8,14
2007-08-04,81,64,73.0,0,58,64,0,8,0.03,29.31,30.03,5.7,8,6.1,14,74.0,0.025,6.35,15.214777049514337,77.625,0.10017605633802817,7.220454545454547,81,68,75.0,58,65,0,10,0.02,29.36,30.01,5.9,9,6.6,14
2007-08-05,88,67,78.0,5,71,73,0,13,1.43,29.08,29.81,5.4,21,9.6,14,78.0,1.2,9.899999999999999,15.20670572273424,78.125,0.10799295774647885,7.054545454545456,88,68,78.0,71,72,0,13,0.97,29.15,29.79,7.0,22,10.2,14
2007-08-06,88,74,81.0,8,72,74,0,16,0.26,29.13,29.83,1.6,10,4.9,14,80.5,0.155,4.75,15.19758175154068,78.8125,0.10933098591549292,7.011363636363638,85,75,80.0,72,74,0,15,0.05,29.17,29.81,2.6,10,4.6,14
2007-08-07,91,72,82.0,9,73,76,0,17,1.31,29.06,29.76,6.2,25,9.0,14,82.5,0.685,8.9,15.187413553639125,79.625,0.11894366197183094,7.147727272727272,92,73,83.0,73,76,0,18,0.06,29.11,29.74,6.3,24,8.8,14
2007-08-08,87,73,80.0,7,71,73,0,15,0.06,29.13,29.83,3.0,3,6.9,14,80.5,0.075,6.65,15.176210395020536,79.75,0.11999999999999994,7.134090909090906,87,74,81.0,72,74,0,16,0.09,29.18,29.81,1.5,4,6.4,14
2007-08-09,84,72,78.0,5,71,73,0,13,0.05,29.13,29.84,2.5,29,6.0,14,78.5,0.255,6.15,15.163982360714094,79.5,0.12359154929577458,6.943181818181816,85,73,79.0,71,73,0,14,0.46,29.19,29.82,3.1,27,6.3,14
